"global_step","Hopper-v4__PPO1_Hopper__4__1745438365 - _step","Hopper-v4__PPO1_Hopper__4__1745438365 - _step__MIN","Hopper-v4__PPO1_Hopper__4__1745438365 - _step__MAX","Hopper-v4__PPO1_Hopper__4__1745438365 - charts/episodic_return","Hopper-v4__PPO1_Hopper__4__1745438365 - charts/episodic_return__MIN","Hopper-v4__PPO1_Hopper__4__1745438365 - charts/episodic_return__MAX","Hopper-v4__PPO1_Hopper__3__1745437682 - _step","Hopper-v4__PPO1_Hopper__3__1745437682 - _step__MIN","Hopper-v4__PPO1_Hopper__3__1745437682 - _step__MAX","Hopper-v4__PPO1_Hopper__3__1745437682 - charts/episodic_return","Hopper-v4__PPO1_Hopper__3__1745437682 - charts/episodic_return__MIN","Hopper-v4__PPO1_Hopper__3__1745437682 - charts/episodic_return__MAX","Hopper-v4__PPO1_Hopper__2__1745436989 - _step","Hopper-v4__PPO1_Hopper__2__1745436989 - _step__MIN","Hopper-v4__PPO1_Hopper__2__1745436989 - _step__MAX","Hopper-v4__PPO1_Hopper__2__1745436989 - charts/episodic_return","Hopper-v4__PPO1_Hopper__2__1745436989 - charts/episodic_return__MIN","Hopper-v4__PPO1_Hopper__2__1745436989 - charts/episodic_return__MAX","Hopper-v4__PPO1_Hopper__1__1745436308 - _step","Hopper-v4__PPO1_Hopper__1__1745436308 - _step__MIN","Hopper-v4__PPO1_Hopper__1__1745436308 - _step__MAX","Hopper-v4__PPO1_Hopper__1__1745436308 - charts/episodic_return","Hopper-v4__PPO1_Hopper__1__1745436308 - charts/episodic_return__MIN","Hopper-v4__PPO1_Hopper__1__1745436308 - charts/episodic_return__MAX","Hopper-v4__PPO1_Hopper__0__1745435609 - _step","Hopper-v4__PPO1_Hopper__0__1745435609 - _step__MIN","Hopper-v4__PPO1_Hopper__0__1745435609 - _step__MAX","Hopper-v4__PPO1_Hopper__0__1745435609 - charts/episodic_return","Hopper-v4__PPO1_Hopper__0__1745435609 - charts/episodic_return__MIN","Hopper-v4__PPO1_Hopper__0__1745435609 - charts/episodic_return__MAX"
"128","","","","","","","","","","","","","","","","","","","9","9","9","6.912524700164795","6.912524700164795","6.912524700164795","","","","","",""
"129","","","","","","","8","8","8","10.342641830444336","10.342641830444336","10.342641830444336","","","","","","","","","","","","","","","","","",""
"133","5","5","5","29.986486434936523","29.986486434936523","29.986486434936523","","","","","","","","","","","","","","","","","","","","","","","",""
"135","","","","","","","","","","","","","8","8","8","8.632697105407715","8.632697105407715","8.632697105407715","","","","","","","","","","","",""
"139","","","","","","","","","","","","","","","","","","","","","","","","","8","8","8","11.20712947845459","11.20712947845459","11.20712947845459"
"142","","","","","","","","","","","","","","","","","","","10","10","10","11.104726791381836","11.104726791381836","11.104726791381836","","","","","",""
"146","","","","","","","9","9","9","14.14261531829834","14.14261531829834","14.14261531829834","","","","","","","","","","","","","","","","","",""
"154","","","","","","","","","","","","","","","","","","","","","","","","","9","9","9","13.878028869628906","13.878028869628906","13.878028869628906"
"155","","","","","","","","","","","","","9","9","9","20.882854461669922","20.882854461669922","20.882854461669922","","","","","","","","","","","",""
"159","6","6","6","13.78262996673584","13.78262996673584","13.78262996673584","","","","","","","","","","","","","","","","","","","","","","","",""
"161","","","","","","","10","10","10","9.783171653747559","9.783171653747559","9.783171653747559","","","","","","","","","","","","","","","","","",""
"164","","","","","","","","","","","","","","","","","","","11","11","11","10.237334251403809","10.237334251403809","10.237334251403809","","","","","",""
"167","","","","","","","","","","","","","","","","","","","","","","","","","10","10","10","11.519765853881836","11.519765853881836","11.519765853881836"
"173","7","7","7","13.00582218170166","13.00582218170166","13.00582218170166","","","","","","","","","","","","","","","","","","","","","","","",""
"175","","","","","","","","","","","","","10","10","10","14.266929626464844","14.266929626464844","14.266929626464844","","","","","","","","","","","",""
"178","","","","","","","","","","","","","","","","","","","","","","","","","11","11","11","8.88957691192627","8.88957691192627","8.88957691192627"
"182","","","","","","","11","11","11","10.080671310424805","10.080671310424805","10.080671310424805","","","","","","","","","","","","","","","","","",""
"185","","","","","","","","","","","","","","","","","","","12","12","12","14.920249938964844","14.920249938964844","14.920249938964844","","","","","",""
"190","8","8","8","11.160201072692871","11.160201072692871","11.160201072692871","","","","","","","","","","","","","","","","","","","","","","","",""
"194","","","","","","","","","","","","","11","11","11","10.642692565917969","10.642692565917969","10.642692565917969","","","","","","","","","","","",""
"195","","","","","","","12","12","12","9.914112091064453","9.914112091064453","9.914112091064453","","","","","","","","","","","","","","","","","",""
"196","","","","","","","","","","","","","","","","","","","13","13","13","8.201000213623047","8.201000213623047","8.201000213623047","","","","","",""
"200","","","","","","","","","","","","","","","","","","","","","","","","","12","12","12","13.898740768432617","13.898740768432617","13.898740768432617"
"208","9","9","9","11.17125129699707","11.17125129699707","11.17125129699707","","","","","","","","","","","","","","","","","","","","","","","",""
"209","","","","","","","","","","","","","","","","","","","14","14","14","9.44753360748291","9.44753360748291","9.44753360748291","","","","","",""
"211","","","","","","","13","13","13","8.345426559448242","8.345426559448242","8.345426559448242","","","","","","","","","","","","","","","","","",""
"214","","","","","","","","","","","","","","","","","","","","","","","","","13","13","13","5.188319683074951","5.188319683074951","5.188319683074951"
"217","","","","","","","","","","","","","12","12","12","22.098543167114258","22.098543167114258","22.098543167114258","","","","","","","","","","","",""
"218","10","10","10","8.419281959533691","8.419281959533691","8.419281959533691","","","","","","","","","","","","","","","","","","","","","","","",""
"224","","","","","","","","","","","","","","","","","","","15","15","15","13.941326141357422","13.941326141357422","13.941326141357422","","","","","",""
"233","","","","","","","","","","","","","","","","","","","","","","","","","14","14","14","14.783281326293945","14.783281326293945","14.783281326293945"
"235","","","","","","","","","","","","","13","13","13","15.070974349975586","15.070974349975586","15.070974349975586","16","16","16","9.386595726013184","9.386595726013184","9.386595726013184","","","","","",""
"245","","","","","","","","","","","","","","","","","","","17","17","17","7.584122180938721","7.584122180938721","7.584122180938721","","","","","",""
"248","","","","","","","","","","","","","14","14","14","4.123649597167969","4.123649597167969","4.123649597167969","","","","","","","","","","","",""
"253","11","11","11","42.651519775390625","42.651519775390625","42.651519775390625","","","","","","","","","","","","","","","","","","","","","","","",""
"257","","","","","","","","","","","","","","","","","","","18","18","18","10.377284049987793","10.377284049987793","10.377284049987793","","","","","",""
"259","","","","","","","","","","","","","15","15","15","9.495051383972168","9.495051383972168","9.495051383972168","","","","","","","","","","","",""
"260","","","","","","","14","14","14","52.17976379394531","52.17976379394531","52.17976379394531","","","","","","","","","","","","","15","15","15","13.92246150970459","13.92246150970459","13.92246150970459"
"270","","","","","","","","","","","","","","","","","","","19","19","19","12.908220291137695","12.908220291137695","12.908220291137695","","","","","",""
"273","12","12","12","6.982461929321289","6.982461929321289","6.982461929321289","","","","","","","","","","","","","","","","","","","","","","","",""
"280","","","","","","","","","","","","","","","","","","","20","20","20","8.285401344299316","8.285401344299316","8.285401344299316","","","","","",""
"282","","","","","","","","","","","","","","","","","","","","","","","","","16","16","16","21.2480525970459","21.2480525970459","21.2480525970459"
"287","13","13","13","12.465526580810547","12.465526580810547","12.465526580810547","","","","","","","","","","","","","","","","","","","","","","","",""
"295","","","","","","","","","","","","","","","","","","","21","21","21","8.568371772766113","8.568371772766113","8.568371772766113","","","","","",""
"296","","","","","","","15","15","15","48.17378616333008","48.17378616333008","48.17378616333008","","","","","","","","","","","","","17","17","17","14.103583335876465","14.103583335876465","14.103583335876465"
"302","14","14","14","12.008673667907715","12.008673667907715","12.008673667907715","","","","","","","","","","","","","","","","","","","","","","","",""
"306","","","","","","","","","","","","","16","16","16","38.9509162902832","38.9509162902832","38.9509162902832","","","","","","","","","","","",""
"309","","","","","","","","","","","","","","","","","","","22","22","22","5.9772186279296875","5.9772186279296875","5.9772186279296875","","","","","",""
"313","15","15","15","3.866999387741089","3.866999387741089","3.866999387741089","","","","","","","","","","","","","","","","","","","","","","","",""
"317","","","","","","","16","16","16","10.601670265197754","10.601670265197754","10.601670265197754","","","","","","","","","","","","","","","","","",""
"320","","","","","","","","","","","","","","","","","","","23","23","23","7.354797840118408","7.354797840118408","7.354797840118408","","","","","",""
"323","","","","","","","","","","","","","17","17","17","8.56649112701416","8.56649112701416","8.56649112701416","","","","","","","","","","","",""
"325","16","16","16","6.731540679931641","6.731540679931641","6.731540679931641","","","","","","","","","","","","","","","","","","","","","","","",""
"337","","","","","","","17","17","17","9.384008407592773","9.384008407592773","9.384008407592773","","","","","","","","","","","","","","","","","",""
"341","17","17","17","14.975579261779785","14.975579261779785","14.975579261779785","","","","","","","","","","","","","","","","","","","","","","","",""
"342","","","","","","","","","","","","","18","18","18","13.134988784790039","13.134988784790039","13.134988784790039","","","","","","","","","","","",""
"346","","","","","","","","","","","","","","","","","","","","","","","","","18","18","18","74.10143280029297","74.10143280029297","74.10143280029297"
"350","","","","","","","18","18","18","5.0052642822265625","5.0052642822265625","5.0052642822265625","","","","","","","","","","","","","","","","","",""
"356","","","","","","","","","","","","","19","19","19","8.80450439453125","8.80450439453125","8.80450439453125","","","","","","","","","","","",""
"357","","","","","","","","","","","","","","","","","","","24","24","24","15.812599182128906","15.812599182128906","15.812599182128906","","","","","",""
"362","18","18","18","22.869998931884766","22.869998931884766","22.869998931884766","","","","","","","","","","","","","","","","","","","","","","","",""
"368","","","","","","","19","19","19","15.004934310913086","15.004934310913086","15.004934310913086","","","","","","","","","","","","","","","","","",""
"372","","","","","","","","","","","","","","","","","","","25","25","25","12.996400833129883","12.996400833129883","12.996400833129883","","","","","",""
"374","","","","","","","","","","","","","20","20","20","18.811328887939453","18.811328887939453","18.811328887939453","","","","","","","","","","","",""
"377","","","","","","","20","20","20","6.3270416259765625","6.3270416259765625","6.3270416259765625","","","","","","","","","","","","","","","","","",""
"380","19","19","19","19.133420944213867","19.133420944213867","19.133420944213867","","","","","","","","","","","","","","","","","","","","","","","",""
"382","","","","","","","","","","","","","","","","","","","","","","","","","19","19","19","18.24399757385254","18.24399757385254","18.24399757385254"
"387","","","","","","","","","","","","","21","21","21","10.760043144226074","10.760043144226074","10.760043144226074","","","","","","","","","","","",""
"389","","","","","","","","","","","","","","","","","","","26","26","26","11.43664264678955","11.43664264678955","11.43664264678955","","","","","",""
"390","","","","","","","21","21","21","8.38250732421875","8.38250732421875","8.38250732421875","","","","","","","","","","","","","","","","","",""
"393","20","20","20","6.67214822769165","6.67214822769165","6.67214822769165","","","","","","","","","","","","","","","","","","","","","","","",""
"408","21","21","21","12.851896286010742","12.851896286010742","12.851896286010742","","","","","","","","","","","","","","","","","","","","","","","",""
"410","","","","","","","","","","","","","","","","","","","27","27","27","16.06345558166504","16.06345558166504","16.06345558166504","","","","","",""
"418","","","","","","","","","","","","","","","","","","","","","","","","","20","20","20","20.631738662719727","20.631738662719727","20.631738662719727"
"421","22","22","22","8.822418212890625","8.822418212890625","8.822418212890625","","","","","","","","","","","","","","","","","","","","","","","",""
"424","","","","","","","","","","","","","","","","","","","28","28","28","7.6547722816467285","7.6547722816467285","7.6547722816467285","","","","","",""
"427","","","","","","","22","22","22","47.11981964111328","47.11981964111328","47.11981964111328","","","","","","","","","","","","","","","","","",""
"434","","","","","","","","","","","","","22","22","22","74.04129791259766","74.04129791259766","74.04129791259766","","","","","","","","","","","",""
"439","","","","","","","","","","","","","","","","","","","","","","","","","21","21","21","14.244142532348633","14.244142532348633","14.244142532348633"
"441","","","","","","","","","","","","","23","23","23","4.649845600128174","4.649845600128174","4.649845600128174","","","","","","","","","","","",""
"443","","","","","","","","","","","","","","","","","","","29","29","29","11.307848930358887","11.307848930358887","11.307848930358887","","","","","",""
"444","23","23","23","23.87859344482422","23.87859344482422","23.87859344482422","","","","","","","","","","","","","","","","","","","","","","","",""
"445","","","","","","","23","23","23","12.677841186523438","12.677841186523438","12.677841186523438","","","","","","","","","","","","","","","","","",""
"452","","","","","","","","","","","","","","","","","","","","","","","","","22","22","22","9.842727661132812","9.842727661132812","9.842727661132812"
"457","","","","","","","","","","","","","24","24","24","10.241162300109863","10.241162300109863","10.241162300109863","","","","","","","","","","","",""
"462","","","","","","","24","24","24","17.432268142700195","17.432268142700195","17.432268142700195","","","","","","","","","","","","","23","23","23","5.903736591339111","5.903736591339111","5.903736591339111"
"469","","","","","","","","","","","","","","","","","","","30","30","30","28.196657180786133","28.196657180786133","28.196657180786133","","","","","",""
"480","","","","","","","","","","","","","25","25","25","25.48505401611328","25.48505401611328","25.48505401611328","","","","","","","24","24","24","13.016889572143555","13.016889572143555","13.016889572143555"
"481","","","","","","","","","","","","","","","","","","","31","31","31","8.738662719726562","8.738662719726562","8.738662719726562","","","","","",""
"482","24","24","24","12.340603828430176","12.340603828430176","12.340603828430176","","","","","","","","","","","","","","","","","","","","","","","",""
"486","","","","","","","25","25","25","18.178808212280273","18.178808212280273","18.178808212280273","","","","","","","","","","","","","","","","","",""
"493","25","25","25","8.504928588867188","8.504928588867188","8.504928588867188","","","","","","","","","","","","","32","32","32","10.019920349121094","10.019920349121094","10.019920349121094","","","","","",""
"494","","","","","","","","","","","","","26","26","26","12.114971160888672","12.114971160888672","12.114971160888672","","","","","","","","","","","",""
"510","26","26","26","12.233109474182129","12.233109474182129","12.233109474182129","","","","","","","","","","","","","","","","","","","","","","","",""
"511","","","","","","","","","","","","","27","27","27","19.087717056274414","19.087717056274414","19.087717056274414","","","","","","","","","","","",""
"512","","","","","","","","","","","","","","","","","","","33","33","33","8.493613243103027","8.493613243103027","8.493613243103027","","","","","",""
"517","","","","","","","","","","","","","","","","","","","","","","","","","25","25","25","9.67902660369873","9.67902660369873","9.67902660369873"
"520","","","","","","","26","26","26","41.12702178955078","41.12702178955078","41.12702178955078","","","","","","","","","","","","","","","","","",""
"525","27","27","27","12.735648155212402","12.735648155212402","12.735648155212402","","","","","","","","","","","","","","","","","","","","","","","",""
"526","","","","","","","","","","","","","28","28","28","7.138954162597656","7.138954162597656","7.138954162597656","34","34","34","12.266005516052246","12.266005516052246","12.266005516052246","","","","","",""
"529","","","","","","","27","27","27","6.418094635009766","6.418094635009766","6.418094635009766","","","","","","","","","","","","","26","26","26","10.782729148864746","10.782729148864746","10.782729148864746"
"539","","","","","","","","","","","","","","","","","","","35","35","35","8.763277053833008","8.763277053833008","8.763277053833008","","","","","",""
"540","","","","","","","","","","","","","29","29","29","13.445488929748535","13.445488929748535","13.445488929748535","","","","","","","","","","","",""
"544","","","","","","","","","","","","","","","","","","","","","","","","","27","27","27","12.603143692016602","12.603143692016602","12.603143692016602"
"550","28","28","28","18.22400665283203","18.22400665283203","18.22400665283203","","","","","","","","","","","","","","","","","","","","","","","",""
"551","","","","","","","28","28","28","7.651579856872559","7.651579856872559","7.651579856872559","","","","","","","","","","","","","","","","","",""
"558","","","","","","","","","","","","","","","","","","","","","","","","","28","28","28","10.235761642456055","10.235761642456055","10.235761642456055"
"565","","","","","","","","","","","","","","","","","","","","","","","","","29","29","29","4.672369003295898","4.672369003295898","4.672369003295898"
"567","","","","","","","","","","","","","30","30","30","21.29041862487793","21.29041862487793","21.29041862487793","","","","","","","","","","","",""
"568","","","","","","","29","29","29","17.035640716552734","17.035640716552734","17.035640716552734","","","","","","","","","","","","","","","","","",""
"573","29","29","29","23.115201950073242","23.115201950073242","23.115201950073242","","","","","","","","","","","","","","","","","","","","","","","",""
"574","","","","","","","","","","","","","","","","","","","36","36","36","16.833589553833008","16.833589553833008","16.833589553833008","","","","","",""
"581","","","","","","","","","","","","","31","31","31","9.485176086425781","9.485176086425781","9.485176086425781","","","","","","","","","","","",""
"594","30","30","30","11.185669898986816","11.185669898986816","11.185669898986816","","","","","","","","","","","","","37","37","37","9.666708946228027","9.666708946228027","9.666708946228027","","","","","",""
"595","","","","","","","30","30","30","4.698694229125977","4.698694229125977","4.698694229125977","","","","","","","","","","","","","","","","","",""
"597","","","","","","","","","","","","","","","","","","","","","","","","","30","30","30","17.468778610229492","17.468778610229492","17.468778610229492"
"601","","","","","","","","","","","","","32","32","32","21.648887634277344","21.648887634277344","21.648887634277344","","","","","","","","","","","",""
"609","","","","","","","","","","","","","","","","","","","38","38","38","7.729934215545654","7.729934215545654","7.729934215545654","","","","","",""
"611","","","","","","","31","31","31","13.94119930267334","13.94119930267334","13.94119930267334","","","","","","","","","","","","","31","31","31","12.468208312988281","12.468208312988281","12.468208312988281"
"613","31","31","31","11.893292427062988","11.893292427062988","11.893292427062988","","","","","","","","","","","","","","","","","","","","","","","",""
"617","","","","","","","","","","","","","33","33","33","14.506711959838867","14.506711959838867","14.506711959838867","","","","","","","","","","","",""
"626","","","","","","","32","32","32","10.708666801452637","10.708666801452637","10.708666801452637","","","","","","","","","","","","","","","","","",""
"630","","","","","","","","","","","","","","","","","","","","","","","","","32","32","32","20.35904884338379","20.35904884338379","20.35904884338379"
"631","32","32","32","15.804224014282227","15.804224014282227","15.804224014282227","","","","","","","","","","","","","","","","","","","","","","","",""
"635","","","","","","","","","","","","","","","","","","","39","39","39","3.8134984970092773","3.8134984970092773","3.8134984970092773","","","","","",""
"637","","","","","","","33","33","33","8.066367149353027","8.066367149353027","8.066367149353027","","","","","","","","","","","","","","","","","",""
"647","33","33","33","13.89630126953125","13.89630126953125","13.89630126953125","","","","","","","","","","","","","","","","","","","","","","","",""
"650","","","","","","","","","","","","","","","","","","","40","40","40","9.523210525512695","9.523210525512695","9.523210525512695","","","","","",""
"656","","","","","","","34","34","34","15.426217079162598","15.426217079162598","15.426217079162598","","","","","","","","","","","","","","","","","",""
"666","","","","","","","","","","","","","34","34","34","52.81150817871094","52.81150817871094","52.81150817871094","","","","","","","","","","","",""
"667","","","","","","","35","35","35","6.69364070892334","6.69364070892334","6.69364070892334","","","","","","","","","","","","","33","33","33","32.53520202636719","32.53520202636719","32.53520202636719"
"670","34","34","34","24.026229858398438","24.026229858398438","24.026229858398438","","","","","","","","","","","","","","","","","","","","","","","",""
"671","","","","","","","","","","","","","","","","","","","41","41","41","11.666630744934082","11.666630744934082","11.666630744934082","","","","","",""
"681","","","","","","","36","36","36","8.534436225891113","8.534436225891113","8.534436225891113","","","","","","","","","","","","","","","","","",""
"683","35","35","35","8.369827270507812","8.369827270507812","8.369827270507812","","","","","","","","","","","","","","","","","","","","","","","",""
"688","","","","","","","","","","","","","35","35","35","22.04595375061035","22.04595375061035","22.04595375061035","42","42","42","15.952540397644043","15.952540397644043","15.952540397644043","","","","","",""
"691","36","36","36","6.137173175811768","6.137173175811768","6.137173175811768","","","","","","","","","","","","","","","","","","","","","","","",""
"699","","","","","","","","","","","","","","","","","","","43","43","43","8.499678611755371","8.499678611755371","8.499678611755371","","","","","",""
"705","","","","","","","","","","","","","36","36","36","11.611461639404297","11.611461639404297","11.611461639404297","","","","","","","","","","","",""
"709","","","","","","","","","","","","","","","","","","","","","","","","","34","34","34","61.70652770996094","61.70652770996094","61.70652770996094"
"713","","","","","","","","","","","","","","","","","","","44","44","44","13.455020904541016","13.455020904541016","13.455020904541016","","","","","",""
"723","","","","","","","","","","","","","","","","","","","","","","","","","35","35","35","10.855124473571777","10.855124473571777","10.855124473571777"
"725","","","","","","","","","","","","","37","37","37","8.626396179199219","8.626396179199219","8.626396179199219","","","","","","","","","","","",""
"733","37","37","37","70.49327087402344","70.49327087402344","70.49327087402344","37","37","37","68.49600982666016","68.49600982666016","68.49600982666016","","","","","","","","","","","","","","","","","",""
"734","","","","","","","","","","","","","","","","","","","45","45","45","6.838798522949219","6.838798522949219","6.838798522949219","","","","","",""
"740","","","","","","","","","","","","","","","","","","","","","","","","","36","36","36","11.212977409362793","11.212977409362793","11.212977409362793"
"744","","","","","","","","","","","","","38","38","38","18.80854606628418","18.80854606628418","18.80854606628418","","","","","","","","","","","",""
"750","","","","","","","","","","","","","","","","","","","46","46","46","10.997203826904297","10.997203826904297","10.997203826904297","","","","","",""
"751","","","","","","","38","38","38","13.268685340881348","13.268685340881348","13.268685340881348","","","","","","","","","","","","","","","","","",""
"755","38","38","38","10.648011207580566","10.648011207580566","10.648011207580566","","","","","","","","","","","","","","","","","","","","","","","",""
"758","","","","","","","","","","","","","","","","","","","","","","","","","37","37","37","16.40031623840332","16.40031623840332","16.40031623840332"
"762","","","","","","","","","","","","","","","","","","","47","47","47","7.669258117675781","7.669258117675781","7.669258117675781","","","","","",""
"765","","","","","","","39","39","39","12.531917572021484","12.531917572021484","12.531917572021484","","","","","","","","","","","","","","","","","",""
"766","","","","","","","","","","","","","","","","","","","","","","","","","38","38","38","5.374189853668213","5.374189853668213","5.374189853668213"
"769","39","39","39","14.302014350891113","14.302014350891113","14.302014350891113","","","","","","","","","","","","","","","","","","","","","","","",""
"775","","","","","","","","","","","","","","","","","","","48","48","48","9.133952140808105","9.133952140808105","9.133952140808105","","","","","",""
"776","","","","","","","","","","","","","39","39","39","27.510515213012695","27.510515213012695","27.510515213012695","","","","","","","","","","","",""
"780","","","","","","","","","","","","","","","","","","","","","","","","","39","39","39","8.5577392578125","8.5577392578125","8.5577392578125"
"784","40","40","40","7.357105255126953","7.357105255126953","7.357105255126953","","","","","","","","","","","","","","","","","","","","","","","",""
"800","41","41","41","12.838810920715332","12.838810920715332","12.838810920715332","","","","","","","","","","","","","","","","","","","","","","","",""
"809","","","","","","","","","","","","","","","","","","","49","49","49","12.063346862792969","12.063346862792969","12.063346862792969","","","","","",""
"812","","","","","","","40","40","40","76.48574829101562","76.48574829101562","76.48574829101562","","","","","","","","","","","","","","","","","",""
"813","","","","","","","","","","","","","","","","","","","","","","","","","40","40","40","19.169076919555664","19.169076919555664","19.169076919555664"
"814","42","42","42","8.367356300354004","8.367356300354004","8.367356300354004","","","","","","","","","","","","","","","","","","","","","","","",""
"821","","","","","","","","","","","","","40","40","40","43.60029983520508","43.60029983520508","43.60029983520508","","","","","","","","","","","",""
"827","","","","","","","41","41","41","7.466866970062256","7.466866970062256","7.466866970062256","","","","","","","","","","","","","","","","","",""
"828","","","","","","","","","","","","","","","","","","","","","","","","","41","41","41","10.570256233215332","10.570256233215332","10.570256233215332"
"831","43","43","43","15.365745544433594","15.365745544433594","15.365745544433594","","","","","","","","","","","","","","","","","","","","","","","",""
