"global_step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__4__1745491324 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__3__1745482698 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__2__1745473886 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__1__1745465244 - charts/episodic_return__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - _step__MAX","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MIN","HalfCheetah-v4__SAC_10Q2_HalfCheetah__0__1745456697 - charts/episodic_return__MAX"
"13999","103","103","103","1787.4322509765625","1787.4322509765625","1787.4322509765625","103","103","103","1620.503173828125","1620.503173828125","1620.503173828125","103","103","103","2402.36474609375","2402.36474609375","2402.36474609375","103","103","103","605.6722412109375","605.6722412109375","605.6722412109375","103","103","103","863.8527221679688","863.8527221679688","863.8527221679688"
"14999","114","114","114","2298.457275390625","2298.457275390625","2298.457275390625","114","114","114","1966.2352294921875","1966.2352294921875","1966.2352294921875","114","114","114","2394.808349609375","2394.808349609375","2394.808349609375","114","114","114","1470.6881103515625","1470.6881103515625","1470.6881103515625","114","114","114","2056.74658203125","2056.74658203125","2056.74658203125"
"15999","125","125","125","2541.0869140625","2541.0869140625","2541.0869140625","125","125","125","1991.1925048828125","1991.1925048828125","1991.1925048828125","125","125","125","2588.643798828125","2588.643798828125","2588.643798828125","125","125","125","1638.6724853515625","1638.6724853515625","1638.6724853515625","125","125","125","2900.23388671875","2900.23388671875","2900.23388671875"
"16999","136","136","136","2948.484375","2948.484375","2948.484375","136","136","136","2706.076904296875","2706.076904296875","2706.076904296875","136","136","136","3367.44580078125","3367.44580078125","3367.44580078125","136","136","136","2365.5029296875","2365.5029296875","2365.5029296875","136","136","136","3061.0634765625","3061.0634765625","3061.0634765625"
"17999","147","147","147","3341.546142578125","3341.546142578125","3341.546142578125","147","147","147","3113.31103515625","3113.31103515625","3113.31103515625","147","147","147","3617.244873046875","3617.244873046875","3617.244873046875","147","147","147","2656.0810546875","2656.0810546875","2656.0810546875","147","147","147","3315.735595703125","3315.735595703125","3315.735595703125"
"18999","158","158","158","3588.78271484375","3588.78271484375","3588.78271484375","158","158","158","3555.236083984375","3555.236083984375","3555.236083984375","158","158","158","3768.9541015625","3768.9541015625","3768.9541015625","158","158","158","3165.406005859375","3165.406005859375","3165.406005859375","158","158","158","3538.393310546875","3538.393310546875","3538.393310546875"
"19999","169","169","169","3827.667236328125","3827.667236328125","3827.667236328125","169","169","169","3942.008544921875","3942.008544921875","3942.008544921875","169","169","169","3809.48291015625","3809.48291015625","3809.48291015625","169","169","169","3533.85302734375","3533.85302734375","3533.85302734375","169","169","169","3935.9580078125","3935.9580078125","3935.9580078125"
"20999","180","180","180","4227.59130859375","4227.59130859375","4227.59130859375","180","180","180","4129.94287109375","4129.94287109375","4129.94287109375","180","180","180","4095.498046875","4095.498046875","4095.498046875","180","180","180","3795.7021484375","3795.7021484375","3795.7021484375","180","180","180","3959.977783203125","3959.977783203125","3959.977783203125"
"21999","191","191","191","4060.38720703125","4060.38720703125","4060.38720703125","191","191","191","3970.593017578125","3970.593017578125","3970.593017578125","191","191","191","4227.1611328125","4227.1611328125","4227.1611328125","191","191","191","3881.42333984375","3881.42333984375","3881.42333984375","191","191","191","4097.03564453125","4097.03564453125","4097.03564453125"
"22999","202","202","202","4116.71630859375","4116.71630859375","4116.71630859375","202","202","202","3914.2158203125","3914.2158203125","3914.2158203125","202","202","202","4488.60888671875","4488.60888671875","4488.60888671875","202","202","202","4051.212890625","4051.212890625","4051.212890625","202","202","202","4126.0234375","4126.0234375","4126.0234375"
"23999","213","213","213","4252.3310546875","4252.3310546875","4252.3310546875","213","213","213","4190.0380859375","4190.0380859375","4190.0380859375","213","213","213","4608.73779296875","4608.73779296875","4608.73779296875","213","213","213","4182.6875","4182.6875","4182.6875","213","213","213","4152.30908203125","4152.30908203125","4152.30908203125"
"24999","224","224","224","4439.1376953125","4439.1376953125","4439.1376953125","224","224","224","4787.54345703125","4787.54345703125","4787.54345703125","224","224","224","4448.1611328125","4448.1611328125","4448.1611328125","224","224","224","4205.10009765625","4205.10009765625","4205.10009765625","224","224","224","4261.07470703125","4261.07470703125","4261.07470703125"
"25999","235","235","235","4797.10791015625","4797.10791015625","4797.10791015625","235","235","235","4727.3115234375","4727.3115234375","4727.3115234375","235","235","235","4731.72509765625","4731.72509765625","4731.72509765625","235","235","235","4469.87646484375","4469.87646484375","4469.87646484375","235","235","235","4395.77783203125","4395.77783203125","4395.77783203125"
"26999","246","246","246","4804.5810546875","4804.5810546875","4804.5810546875","246","246","246","4682.5185546875","4682.5185546875","4682.5185546875","246","246","246","4954.7392578125","4954.7392578125","4954.7392578125","246","246","246","4498.349609375","4498.349609375","4498.349609375","246","246","246","4492.88134765625","4492.88134765625","4492.88134765625"
"27999","257","257","257","4737.8779296875","4737.8779296875","4737.8779296875","257","257","257","4874.9931640625","4874.9931640625","4874.9931640625","257","257","257","1565.1099853515625","1565.1099853515625","1565.1099853515625","257","257","257","4807.7822265625","4807.7822265625","4807.7822265625","257","257","257","4579.73828125","4579.73828125","4579.73828125"
"28999","268","268","268","4975.60693359375","4975.60693359375","4975.60693359375","268","268","268","4943.6708984375","4943.6708984375","4943.6708984375","268","268","268","4986.67919921875","4986.67919921875","4986.67919921875","268","268","268","4706.13671875","4706.13671875","4706.13671875","268","268","268","4650.6044921875","4650.6044921875","4650.6044921875"
"29999","279","279","279","5074.0751953125","5074.0751953125","5074.0751953125","279","279","279","4879.7158203125","4879.7158203125","4879.7158203125","279","279","279","5220.22119140625","5220.22119140625","5220.22119140625","279","279","279","4178.0478515625","4178.0478515625","4178.0478515625","279","279","279","4738.62939453125","4738.62939453125","4738.62939453125"
"30999","290","290","290","4922.73681640625","4922.73681640625","4922.73681640625","290","290","290","5105.67138671875","5105.67138671875","5105.67138671875","290","290","290","5383.5654296875","5383.5654296875","5383.5654296875","290","290","290","2847.97802734375","2847.97802734375","2847.97802734375","290","290","290","4695.140625","4695.140625","4695.140625"
"31999","301","301","301","4972.79931640625","4972.79931640625","4972.79931640625","301","301","301","5250.61328125","5250.61328125","5250.61328125","301","301","301","5355.41162109375","5355.41162109375","5355.41162109375","301","301","301","4930.1689453125","4930.1689453125","4930.1689453125","301","301","301","4786.37548828125","4786.37548828125","4786.37548828125"
"32999","312","312","312","5083.46142578125","5083.46142578125","5083.46142578125","312","312","312","5341.53857421875","5341.53857421875","5341.53857421875","312","312","312","5411.84033203125","5411.84033203125","5411.84033203125","312","312","312","5198.44921875","5198.44921875","5198.44921875","312","312","312","4798.20947265625","4798.20947265625","4798.20947265625"
"33999","323","323","323","5259.02587890625","5259.02587890625","5259.02587890625","323","323","323","5500.67138671875","5500.67138671875","5500.67138671875","323","323","323","5729.68115234375","5729.68115234375","5729.68115234375","323","323","323","4920.0849609375","4920.0849609375","4920.0849609375","323","323","323","5060.4873046875","5060.4873046875","5060.4873046875"
"34999","334","334","334","5154.09423828125","5154.09423828125","5154.09423828125","334","334","334","5542.2080078125","5542.2080078125","5542.2080078125","334","334","334","5554.9853515625","5554.9853515625","5554.9853515625","334","334","334","5357.3251953125","5357.3251953125","5357.3251953125","334","334","334","4995.10498046875","4995.10498046875","4995.10498046875"
"35999","345","345","345","5251.255859375","5251.255859375","5251.255859375","345","345","345","5548.16748046875","5548.16748046875","5548.16748046875","345","345","345","5954.009765625","5954.009765625","5954.009765625","345","345","345","5215.9462890625","5215.9462890625","5215.9462890625","345","345","345","5158.8876953125","5158.8876953125","5158.8876953125"
"36999","356","356","356","5269.052734375","5269.052734375","5269.052734375","356","356","356","5590.38232421875","5590.38232421875","5590.38232421875","356","356","356","5719.7236328125","5719.7236328125","5719.7236328125","356","356","356","5533.65576171875","5533.65576171875","5533.65576171875","356","356","356","5122.27490234375","5122.27490234375","5122.27490234375"
"37999","367","367","367","5477.52978515625","5477.52978515625","5477.52978515625","367","367","367","5668.69091796875","5668.69091796875","5668.69091796875","367","367","367","5925.00927734375","5925.00927734375","5925.00927734375","367","367","367","5843.61669921875","5843.61669921875","5843.61669921875","367","367","367","5147.82177734375","5147.82177734375","5147.82177734375"
"38999","378","378","378","5323.43115234375","5323.43115234375","5323.43115234375","378","378","378","5547.06640625","5547.06640625","5547.06640625","378","378","378","6063.71337890625","6063.71337890625","6063.71337890625","378","378","378","5654.46337890625","5654.46337890625","5654.46337890625","378","378","378","5147.5654296875","5147.5654296875","5147.5654296875"
"39999","389","389","389","5556.4345703125","5556.4345703125","5556.4345703125","389","389","389","5533.6787109375","5533.6787109375","5533.6787109375","389","389","389","6153.4365234375","6153.4365234375","6153.4365234375","389","389","389","5624.09326171875","5624.09326171875","5624.09326171875","389","389","389","5229.82763671875","5229.82763671875","5229.82763671875"
"40999","400","400","400","5679.3017578125","5679.3017578125","5679.3017578125","400","400","400","5551.24560546875","5551.24560546875","5551.24560546875","400","400","400","6252.38134765625","6252.38134765625","6252.38134765625","400","400","400","5887.3447265625","5887.3447265625","5887.3447265625","400","400","400","5251.2548828125","5251.2548828125","5251.2548828125"
"41999","411","411","411","5788.9677734375","5788.9677734375","5788.9677734375","411","411","411","6075.27685546875","6075.27685546875","6075.27685546875","411","411","411","6309.53173828125","6309.53173828125","6309.53173828125","411","411","411","5984.54638671875","5984.54638671875","5984.54638671875","411","411","411","5384.35595703125","5384.35595703125","5384.35595703125"
"42999","422","422","422","5826.88232421875","5826.88232421875","5826.88232421875","422","422","422","6063.6396484375","6063.6396484375","6063.6396484375","422","422","422","6559.47998046875","6559.47998046875","6559.47998046875","422","422","422","6052.7001953125","6052.7001953125","6052.7001953125","422","422","422","5027.55126953125","5027.55126953125","5027.55126953125"
"43999","433","433","433","5854.55419921875","5854.55419921875","5854.55419921875","433","433","433","5750.759765625","5750.759765625","5750.759765625","433","433","433","6483.294921875","6483.294921875","6483.294921875","433","433","433","6427.03369140625","6427.03369140625","6427.03369140625","433","433","433","5170.849609375","5170.849609375","5170.849609375"
"44999","444","444","444","5827.8134765625","5827.8134765625","5827.8134765625","444","444","444","6017.39404296875","6017.39404296875","6017.39404296875","444","444","444","6716.40771484375","6716.40771484375","6716.40771484375","444","444","444","6172.56689453125","6172.56689453125","6172.56689453125","444","444","444","5216.95947265625","5216.95947265625","5216.95947265625"
"45999","455","455","455","5958.6357421875","5958.6357421875","5958.6357421875","455","455","455","6181.845703125","6181.845703125","6181.845703125","455","455","455","6636.58544921875","6636.58544921875","6636.58544921875","455","455","455","6513.16064453125","6513.16064453125","6513.16064453125","455","455","455","5227.4912109375","5227.4912109375","5227.4912109375"
"46999","466","466","466","5908.40771484375","5908.40771484375","5908.40771484375","466","466","466","3669.900390625","3669.900390625","3669.900390625","466","466","466","6644.19384765625","6644.19384765625","6644.19384765625","466","466","466","6231.88818359375","6231.88818359375","6231.88818359375","466","466","466","5441.96044921875","5441.96044921875","5441.96044921875"
"47999","477","477","477","6004.74609375","6004.74609375","6004.74609375","477","477","477","6166.30615234375","6166.30615234375","6166.30615234375","477","477","477","6782.02197265625","6782.02197265625","6782.02197265625","477","477","477","6365.927734375","6365.927734375","6365.927734375","477","477","477","5260.91015625","5260.91015625","5260.91015625"
"48999","488","488","488","6161.08544921875","6161.08544921875","6161.08544921875","488","488","488","3898.0361328125","3898.0361328125","3898.0361328125","488","488","488","6991.61474609375","6991.61474609375","6991.61474609375","488","488","488","6497.30078125","6497.30078125","6497.30078125","488","488","488","5525.68408203125","5525.68408203125","5525.68408203125"
"49999","499","499","499","5993.00146484375","5993.00146484375","5993.00146484375","499","499","499","6499.20263671875","6499.20263671875","6499.20263671875","499","499","499","7080.24755859375","7080.24755859375","7080.24755859375","499","499","499","6434.1708984375","6434.1708984375","6434.1708984375","499","499","499","5427.25927734375","5427.25927734375","5427.25927734375"
"50999","510","510","510","6202.4951171875","6202.4951171875","6202.4951171875","510","510","510","6460.70703125","6460.70703125","6460.70703125","510","510","510","6959.8603515625","6959.8603515625","6959.8603515625","510","510","510","6570.96630859375","6570.96630859375","6570.96630859375","510","510","510","5475.06494140625","5475.06494140625","5475.06494140625"
"51999","521","521","521","6105.60302734375","6105.60302734375","6105.60302734375","521","521","521","6486.029296875","6486.029296875","6486.029296875","521","521","521","7085.12939453125","7085.12939453125","7085.12939453125","521","521","521","6886.228515625","6886.228515625","6886.228515625","521","521","521","5512.693359375","5512.693359375","5512.693359375"
"52999","532","532","532","6257.81103515625","6257.81103515625","6257.81103515625","532","532","532","6362.1123046875","6362.1123046875","6362.1123046875","532","532","532","7377.07275390625","7377.07275390625","7377.07275390625","532","532","532","6763.158203125","6763.158203125","6763.158203125","532","532","532","5545.00634765625","5545.00634765625","5545.00634765625"
"53999","543","543","543","6087.7412109375","6087.7412109375","6087.7412109375","543","543","543","6506.10302734375","6506.10302734375","6506.10302734375","543","543","543","7133.8818359375","7133.8818359375","7133.8818359375","543","543","543","6945.2333984375","6945.2333984375","6945.2333984375","543","543","543","5543.640625","5543.640625","5543.640625"
"54999","554","554","554","5997.3046875","5997.3046875","5997.3046875","554","554","554","6633.4052734375","6633.4052734375","6633.4052734375","554","554","554","7450.275390625","7450.275390625","7450.275390625","554","554","554","6740.724609375","6740.724609375","6740.724609375","554","554","554","5662.1318359375","5662.1318359375","5662.1318359375"
"55999","565","565","565","6190.04638671875","6190.04638671875","6190.04638671875","565","565","565","1870.7822265625","1870.7822265625","1870.7822265625","565","565","565","7494.57080078125","7494.57080078125","7494.57080078125","565","565","565","6813.0703125","6813.0703125","6813.0703125","565","565","565","5587.95654296875","5587.95654296875","5587.95654296875"
"56999","576","576","576","6148.46044921875","6148.46044921875","6148.46044921875","576","576","576","6614.04296875","6614.04296875","6614.04296875","576","576","576","7454.58642578125","7454.58642578125","7454.58642578125","576","576","576","7071.15185546875","7071.15185546875","7071.15185546875","576","576","576","5771.0224609375","5771.0224609375","5771.0224609375"
"57999","587","587","587","6335.00439453125","6335.00439453125","6335.00439453125","587","587","587","6728.0078125","6728.0078125","6728.0078125","587","587","587","7425.16650390625","7425.16650390625","7425.16650390625","587","587","587","6500.7431640625","6500.7431640625","6500.7431640625","587","587","587","5562.1533203125","5562.1533203125","5562.1533203125"
"58999","598","598","598","5965.1494140625","5965.1494140625","5965.1494140625","598","598","598","6957.60302734375","6957.60302734375","6957.60302734375","598","598","598","7425.6064453125","7425.6064453125","7425.6064453125","598","598","598","6948.22265625","6948.22265625","6948.22265625","598","598","598","5668.45703125","5668.45703125","5668.45703125"
"59999","609","609","609","6292.8876953125","6292.8876953125","6292.8876953125","609","609","609","6955.01953125","6955.01953125","6955.01953125","609","609","609","7506.759765625","7506.759765625","7506.759765625","609","609","609","7106.73779296875","7106.73779296875","7106.73779296875","609","609","609","5660.74609375","5660.74609375","5660.74609375"
"60999","620","620","620","6202.361328125","6202.361328125","6202.361328125","620","620","620","7112.12353515625","7112.12353515625","7112.12353515625","620","620","620","7690.5546875","7690.5546875","7690.5546875","620","620","620","7149.5439453125","7149.5439453125","7149.5439453125","620","620","620","5773.59326171875","5773.59326171875","5773.59326171875"
"61999","631","631","631","6077.14306640625","6077.14306640625","6077.14306640625","631","631","631","7000.31201171875","7000.31201171875","7000.31201171875","631","631","631","7637.49755859375","7637.49755859375","7637.49755859375","631","631","631","7349.30712890625","7349.30712890625","7349.30712890625","631","631","631","5810.5537109375","5810.5537109375","5810.5537109375"
"62999","642","642","642","3348.3642578125","3348.3642578125","3348.3642578125","642","642","642","6819.50146484375","6819.50146484375","6819.50146484375","642","642","642","7734.9482421875","7734.9482421875","7734.9482421875","642","642","642","6986.8955078125","6986.8955078125","6986.8955078125","642","642","642","5768.47900390625","5768.47900390625","5768.47900390625"
"63999","653","653","653","6443.630859375","6443.630859375","6443.630859375","653","653","653","6746.255859375","6746.255859375","6746.255859375","653","653","653","7817.1025390625","7817.1025390625","7817.1025390625","653","653","653","7372.68017578125","7372.68017578125","7372.68017578125","653","653","653","5951.28173828125","5951.28173828125","5951.28173828125"
"64999","664","664","664","6443.50341796875","6443.50341796875","6443.50341796875","664","664","664","6859.93359375","6859.93359375","6859.93359375","664","664","664","7764.775390625","7764.775390625","7764.775390625","664","664","664","6877.787109375","6877.787109375","6877.787109375","664","664","664","5925.72607421875","5925.72607421875","5925.72607421875"
"65999","675","675","675","6437.13330078125","6437.13330078125","6437.13330078125","675","675","675","7138.89697265625","7138.89697265625","7138.89697265625","675","675","675","7796.94287109375","7796.94287109375","7796.94287109375","675","675","675","7385.0400390625","7385.0400390625","7385.0400390625","675","675","675","5932.8515625","5932.8515625","5932.8515625"
"66999","686","686","686","6333.74267578125","6333.74267578125","6333.74267578125","686","686","686","6996.79248046875","6996.79248046875","6996.79248046875","686","686","686","7957.8603515625","7957.8603515625","7957.8603515625","686","686","686","7597.48193359375","7597.48193359375","7597.48193359375","686","686","686","6150.99072265625","6150.99072265625","6150.99072265625"
"67999","697","697","697","6403.06982421875","6403.06982421875","6403.06982421875","697","697","697","7350.82470703125","7350.82470703125","7350.82470703125","697","697","697","7703.0458984375","7703.0458984375","7703.0458984375","697","697","697","7289.1181640625","7289.1181640625","7289.1181640625","697","697","697","5817.2890625","5817.2890625","5817.2890625"
"68999","708","708","708","6502.763671875","6502.763671875","6502.763671875","708","708","708","7139.55517578125","7139.55517578125","7139.55517578125","708","708","708","8023.27685546875","8023.27685546875","8023.27685546875","708","708","708","7242.91552734375","7242.91552734375","7242.91552734375","708","708","708","6107.9130859375","6107.9130859375","6107.9130859375"
"69999","719","719","719","3340.169677734375","3340.169677734375","3340.169677734375","719","719","719","7185.43603515625","7185.43603515625","7185.43603515625","719","719","719","7867.85791015625","7867.85791015625","7867.85791015625","719","719","719","7634.68896484375","7634.68896484375","7634.68896484375","719","719","719","6291.962890625","6291.962890625","6291.962890625"
"70999","730","730","730","6574.46435546875","6574.46435546875","6574.46435546875","730","730","730","7385.06640625","7385.06640625","7385.06640625","730","730","730","7855.18505859375","7855.18505859375","7855.18505859375","730","730","730","7496.39208984375","7496.39208984375","7496.39208984375","730","730","730","6153.4111328125","6153.4111328125","6153.4111328125"
"71999","741","741","741","6532.587890625","6532.587890625","6532.587890625","741","741","741","7515.6708984375","7515.6708984375","7515.6708984375","741","741","741","7920.96875","7920.96875","7920.96875","741","741","741","7672.19482421875","7672.19482421875","7672.19482421875","741","741","741","6128.3974609375","6128.3974609375","6128.3974609375"
"72999","752","752","752","6617.10400390625","6617.10400390625","6617.10400390625","752","752","752","7484.6806640625","7484.6806640625","7484.6806640625","752","752","752","8133.4970703125","8133.4970703125","8133.4970703125","752","752","752","7684.048828125","7684.048828125","7684.048828125","752","752","752","6259.3134765625","6259.3134765625","6259.3134765625"
